CP,Plaza,Estado,Municipio,Colonia,Zona,Caja 1KG,Costo por kilo adicional,Palet
03910,MEX,DISTRITO FEDERAL,BENITO JUAREZ,MIXCOAC,1,$113,$3,$915
03920,MEX,DISTRITO FEDERAL,BENITO JUAREZ,INSURGENTES MIXCOAC,1,$113,$3,$915
03930,MEX,DISTRITO FEDERAL,BENITO JUAREZ,MERCED GOMEZ,1,$113,$3,$915
03940,MEX,DISTRITO FEDERAL,BENITO JUAREZ,CREDITO CONSTRUCTOR,1,$113,$3,$915
04000,MEX,DISTRITO FEDERAL,COYOACAN,VILLA COYOACAN,1,$113,$3,$915
04010,MEX,DISTRITO FEDERAL,COYOACAN,SANTA CATARINA,1,$113,$3,$915
04030,MEX,DISTRITO FEDERAL,COYOACAN,SAN LUCAS,1,$113,$3,$915
04040,MEX,DISTRITO FEDERAL,COYOACAN,PARQUE SAN ANDRES,1,$113,$3,$915
04100,MEX,DISTRITO FEDERAL,COYOACAN,DEL CARMEN,1,$113,$3,$915
04110,MEX,DISTRITO FEDERAL,COYOACAN,VIVEROS DE COYOACAN,1,$113,$3,$915
04120,MEX,DISTRITO FEDERAL,COYOACAN,SAN MATEO,1,$113,$3,$915
04120,MEX,DISTRITO FEDERAL,COYOACAN,SAN DIEGO CHURUBUSCO,1,$113,$3,$915
04200,MEX,DISTRITO FEDERAL,COYOACAN,CAMPESTRE CHURUBUSCO,1,$113,$3,$915
04210,MEX,DISTRITO FEDERAL,COYOACAN,CHURUBUSCO COUNTRY CLUB,1,$113,$3,$915
04230,MEX,DISTRITO FEDERAL,COYOACAN,PRADO CHURUBUSCO,1,$113,$3,$915
04239,MEX,DISTRITO FEDERAL,COYOACAN,ERMITA CHURUBUSCO,1,$113,$3,$915
04240,MEX,DISTRITO FEDERAL,COYOACAN,HERMOSILLO,1,$113,$3,$915
04250,MEX,DISTRITO FEDERAL,COYOACAN,PASEOS DE TAXQUENA,1,$113,$3,$915
